Coordinate	Gene	chromosome	strand	cassette_exon_start_coor	cassette_exon_end_coor
chr7:45104098-45104709	TBRG4	chr7	-	45104098	45104709
chr7:4995474-4995582	RNF216P1	chr7	+	4995474	4995582
chr7:64989946-64993414	ZNF117	chr7	-	64989946	64993414
chr7:72830691-72830813	SBDSP1	chr7	+	72830691	72830813
chr7:74718878-74718941	GTF2I	chr7	+	74718878	74718941
chr7:74885022-74885146	STAG3L2	chr7	-	74885022	74885146
chr7:75512308-75512421	PMS2P3	chr7	-	75512308	75512421
chr7:75881364-75881486	RHBDD2	chr7	+	75881364	75881486
chr7:78065573-78065662	MAGI2	chr7	-	78065573	78065662
chr7:92043281-92043377	AKAP9	chr7	+	92043281	92043377
chr7:92456371-92457589	GATAD1	chr7	+	92456371	92457589
chr7:94587777-94587812	SGCE	chr7	-	94587777	94587812
chr7:97869777-97869813	ASNS	chr7	-	97869777	97869813
chr7:99917771-99917885	TRIM4	chr7	-	99917771	99917885
chr8:102302270-102302481	UBR5	chr8	-	102302270	102302481
chr8:144886839-144886902	ZNF250	chr8	-	144886839	144886902
chr1:153951259-153951666	CRTC2	chr1	-	153951259	153951666
chr8:22116874-22117039	HR	chr8	-	22116874	22117039
chr8:28107912-28107976	ELP3	chr8	+	28107912	28107976
chr8:29049289-29049361	HMBOX1	chr8	+	29049289	29049361
chr1:15427149-15427284	EFHD2	chr1	+	15427149	15427284
chr8:31076172-31076287	WRN	chr8	+	31076172	31076287
chr8:33507228-33507321	TTI2	chr8	-	33507228	33507321
chr8:42308900-42309025	IKBKB	chr8	+	42308900	42309025
chr8:55782747-55782812	TGS1	chr8	+	55782747	55782812
chr8:58413298-58413371	UBXN2B	chr8	+	58413298	58413371
chr8:61643944-61644001	ASPH	chr8	-	61643944	61644001
chr8:81717248-81717288	ZFAND1	chr8	-	81717248	81717288
chr9:104753583-104753675	NIPSNAP3A	chr9	+	104753583	104753675
chr1:155729041-155729122	DAP3	chr1	+	155729041	155729122
chr9:120407011-120407248	CDK5RAP2	chr9	-	120407011	120407248
chr9:121094887-121095018	CNTRL	chr9	+	121094887	121095018
chr9:125065989-125066058	SCAI	chr9	-	125065989	125066058
chr9:125335171-125335252	GAPVD1	chr9	+	125335171	125335252
chr9:125342218-125342299	GAPVD1	chr9	+	125342218	125342299
chr9:127348923-127349035	GARNL3	chr9	+	127348923	127349035
chr9:127397375-127398111	SLC2A8	chr9	+	127397375	127398111
chr9:127684367-127684493	STXBP1	chr9	+	127684367	127684493
chr9:129086138-129086267	DOLPP1	chr9	+	129086138	129086267
chr9:13122086-13122170	MPDZ	chr9	-	13122086	13122170
chr1:15656616-15656679	DDI2	chr1	+	15656616	15656679
chr9:135788099-135788162	KCNT1	chr9	+	135788099	135788162
chr9:23765008-23765099	ELAVL2	chr9	-	23765008	23765099
chr9:26920226-26920384	PLAA	chr9	-	26920226	26920384
chr9:4626425-4626555	SPATA6L	chr9	-	4626425	4626555
chr9:5748584-5748714	RIC1	chr9	+	5748584	5748714
chr9:6492302-6492401	UHRF2	chr9	+	6492302	6492401
chr9:66088237-66088283	NONE	chr9	-	66088237	66088283
chr9:68742500-68742657	PIP5K1B	chr9	+	68742500	68742657
chr9:70625481-70625517	TRPM3	chr9	-	70625481	70625517
chr1:159189770-159189872	CADM3	chr1	+	159189770	159189872
chrX:103254604-103254677	TCEAL8	chrX	-	103254604	103254677
chr1:160283529-160283639	PEX19	chr1	-	160283529	160283639
chrX:111721602-111721711	ALG13	chrX	+	111721602	111721711
chrX:11761499-11761582	MSL3	chrX	+	11761499	11761582
chrX:119013038-119013201	LONRF3	chrX	+	119013038	119013201
chrX:119840645-119840684	UPF3B	chrX	-	119840645	119840684
chrX:130024989-130025379	BCORL1	chrX	+	130024989	130025379
chrX:134789579-134789636	FAM122B	chrX	-	134789579	134789636
chrX:13740088-13740213	OFD1	chrX	+	13740088	13740213
chrX:155492356-155492495	TMLHE	chrX	-	155492356	155492495
chrX:38287860-38288041	RPGR	chrX	-	38287860	38288041
chrX:40071636-40071690	BCOR	chrX	-	40071636	40071690
chrX:48575814-48576083	RBM3	chrX	+	48575814	48576083
chr11:61436760-61436960	SDHAF2	chr11	+	61436760	61436960
chrX:71125662-71125713	MED12	chrX	+	71125662	71125713
chr11:63822630-63822848	C11orf84	chr11	+	63822630	63822848
chr11:63903985-63904147	MARK2	chr11	+	63903985	63904147
chr11:63908259-63908304	MARK2	chr11	+	63908259	63908304
chr10:124940373-124940547	ZRANB1	chr10	+	124940373	124940547
chr10:124962286-124962408	ZRANB1	chr10	+	124962286	124962408
chr1:16489684-16489791	CROCCP3	chr1	-	16489684	16489791
